Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
,,,,,,,,,,,,,"ΠΡΑΣΙΝΟ_000,113,054"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,255,244,ΛΕΥΚΟ_255,255,255,ΜΠΛΕ_010,010,172,ΠΟΡΤΟΚΑΛΙ_255,105,018"
,,,,,,,,,,,,,"ΜΠΛΕ_021,021,053,ΣΚΟΥΡΟ ΜΕΛΑΝΖΕ_039,039,039"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_555,555,555,ΣΙΕΛ_123,181,255"
,,,,,,,,,,,,,"ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΦΡΑΟΥΛΑ_255,102,215"
,,,,,,,,,,,,,"ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,ΠΟΥΑ_
,,,,,,,,,,,,,"ΝΕΟΝ ΡΟΔΑΚΙΝΙ_255,172,143"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_255,0,0,ΚΟΥΦΕΤΙ_255,196,225,ΛΕΜΟΝΙ_255,255,89,ΛΕΥΚΟ_239,239,239,ΜΑΡΕΝ_0,0,125,ΦΡΑΟΥΛΑ_255,51,51"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_251,232,228"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΕΜΠΡΙΜΕ_251,232,228"
,,,,,,,,,,,,,"ΜΑΡΕΝ_021,021,053,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΖ_255,174,221"
,,,,,,,,,,,,,ΦΛΟΡΑΛ_
,,,,,,,,,,,,,"ΦΥΣΤΙΚΙ_084,233,198"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053"
,,,,,,,,,,,,,"ΚΟΡΑΛΛΙ_253,038,074,ΚΟΥΦΕΤΙ_255,174,221,ΛΕΜΟΝΙ_243,226,073"
,,,,,,,,,,,,,"ΡΟΖ_255,174,221"
,,,,,,,,,,,,,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΕΛΑΝΖΕ_207,207,207,ΦΟΥΞ_255,038,147"
,,,,,,,,,,,,,"ΒΕΡΑΜΑΝ_125,246,206,ΚΟΥΦΕΤΙ_255,174,221"
,,,,,,,,,,,,,"ΚΟΥΦΕΤΙ_255,174,221,ΛΕΥΚΟ_255,255,255"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΜΕΝΤΑ_023,191,157,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΦΟΥΞ_253,038,074"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΡΟΖ_251,232,228"
,,,,,,,,,,,,,"ΛΕΜΟΝΙ_243,226,073,ΛΕΥΚΟ_255,255,255,ΡΟΖ_251,232,228"
